id,name,type,attribute,race,level,attack_points,defense_points,cost,rarity,description,image
242,Candle of Fate,Normal Monster,DARK,Fiend,2,600,600,2,Common,Decides the fate of an opponent when the candle on its fingertip burns out.,https://images.ygoprodeck.com/images/cards/47695416.jpg
243,Water Element,Normal Monster,WATER,Aqua,3,900,700,3,Common,''A sea-dwelling spirit that takes away sight by clouding the area in fog.'',https://images.ygoprodeck.com/images/cards/3732747.jpg
244,Dissolverock,Normal Monster,EARTH,Rock,3,900,1000,3,Common,"A monster born in the lava pits, it generates intense heat that can melt away its enemies.",https://images.ygoprodeck.com/images/cards/40826495.jpg
245,Meda Bat,Normal Monster,DARK,Fiend,2,800,400,2,Common,"An eyeball fiend created by a servant of the wicked, it uses ""Dark Blasts"" to blow away its enemies.",https://images.ygoprodeck.com/images/cards/76211194.jpg
246,One Who Hunts Souls,Normal Monster,EARTH,Beast-Warrior,4,1100,1000,4,Common,''This dangerous creature brandishes a soul-sucking sword.'',https://images.ygoprodeck.com/images/cards/3606209.jpg
247,Root Water,Normal Monster,WATER,Fish,3,900,800,3,Common,An amphibian capable of calling up a massive tidal wave from the dark seas to wipe out enemy monsters.,https://images.ygoprodeck.com/images/cards/39004808.jpg
248,Master & Expert,Normal Monster,EARTH,Beast,4,1200,1000,4,Common,A deadly duo consisting of a beast master and its loyal servant.,https://images.ygoprodeck.com/images/cards/75499502.jpg
249,Water Omotics,Normal Monster,WATER,Aqua,4,1400,1200,4,Common,Transforms the water overflowing from a jar into attacking dragons.,https://images.ygoprodeck.com/images/cards/2483611.jpg
250,Hyo,Normal Monster,WATER,Warrior,3,800,1200,3,Common,''None can survive the cold touch of this sub-zero warrior.'',https://images.ygoprodeck.com/images/cards/38982356.jpg
251,Enchanting Mermaid,Normal Monster,WATER,Fish,3,1200,900,3,Common,A beautiful mermaid that lures voyagers to a watery grave.,https://images.ygoprodeck.com/images/cards/75376965.jpg
252,Nekogal #1,Normal Monster,EARTH,Beast,3,1100,900,3,Common,"A pussycat-fairy. Contrary to her lovely beauty, she claws on her enemies.",https://images.ygoprodeck.com/images/cards/1761063.jpg
253,Fairywitch,Normal Monster,DARK,Spellcaster,3,800,1000,3,Common,"Though destined to be a fairy, this creature chose the way of the witch instead.",https://images.ygoprodeck.com/images/cards/37160778.jpg
254,Embryonic Beast,Normal Monster,DARK,Fiend,2,500,750,2,Common,''An imperfect monster with a belly vortex that sucks in opponents of any size.'',https://images.ygoprodeck.com/images/cards/64154377.jpg
255,Prevent Rat,Normal Monster,EARTH,Beast,4,500,2000,4,Common,This creature is shielded with a tough hide of hair and is excellent at defending itself.,https://images.ygoprodeck.com/images/cards/549481.jpg
256,Dimensional Warrior,Normal Monster,FIRE,Beast,3,1800,1000,3,Common,,
257,Stone Armadiller,Normal Monster,EARTH,Rock,3,800,1200,3,Common,Dis stone crittah's got rock-hahd fur. Dat gives him some really good dee-fense!,https://images.ygoprodeck.com/images/cards/63432835.jpg
258,Beastking of the Swamps,Effect Monster,WATER,Aqua,4,1000,1100,4,Common,"You can substitute this card for any 1 Fusion Material Monster. When you do this, the other Fusion Material Monster(s) must be the correct one(s).",https://images.ygoprodeck.com/images/cards/99426834.jpg
259,Ancient Sorcerer,Normal Monster,DARK,Spellcaster,4,1000,1300,4,Common,"''Armed with an array of magic wands, this creature is capable of multiple attacks.''",https://images.ygoprodeck.com/images/cards/36821538.jpg
260,Lunar Queen Elzaim,Normal Monster,LIGHT,Fairy,3,750,1100,3,Common,''A lovely creature guarded by the moon. Her lunar curtain can block just about any attack.'',https://images.ygoprodeck.com/images/cards/62210247.jpg
261,Wicked Mirror,Normal Monster,WATER,Fiend,4,1300,1500,4,Common,,
262,The Little Swordsman of Aile,Effect Monster,WATER,Warrior,3,800,1300,3,Common,Offer 1 monster on your side of the field as a Tribute to increase this monster's ATK by 700 points until the end of the turn.,https://images.ygoprodeck.com/images/cards/25109950.jpg
263,Rock Ogre Grotto #2,Normal Monster,EARTH,Rock,3,700,1400,3,Common,"A golem formed by boulders, this monster turns its enemies to stone and crushes them to dust.",https://images.ygoprodeck.com/images/cards/62193699.jpg
264,Wing Egg Elf,Normal Monster,LIGHT,Fairy,3,500,1300,3,Common,''This fairy in an eggshell uses massive wings to blow back almost any projectile attack.'',https://images.ygoprodeck.com/images/cards/98582704.jpg
265,The Furious Sea King,Normal Monster,WATER,Aqua,3,800,700,3,Common,"Grand King of the Seven Seas, he's able to summon massive tidal waves to drown the enemy.",https://images.ygoprodeck.com/images/cards/18710707.jpg
266,Princess of Tsurugi,Flip Effect Monster,WIND,Warrior,3,900,700,3,Common,FLIP: Inflict 500 damage to your opponent for each Spell and Trap Card on your opponent's side of the field.,https://images.ygoprodeck.com/images/cards/51371017.jpg
267,Unknown Warrior of Fiend,Normal Monster,DARK,Warrior,3,1000,500,3,Common,The speed of this warrior creates an intense vacuum that can slice through a monster's hide.,https://images.ygoprodeck.com/images/cards/97360116.jpg
268,Sectarian of Secrets,Normal Monster,DARK,Spellcaster,2,700,500,2,Common,"This wizard worships the darkness, and is served by a sinister hand that drags its enemies into oblivion.",https://images.ygoprodeck.com/images/cards/15507080.jpg
269,Versago the Destroyer,Effect Monster,DARK,Fiend,3,1100,900,3,Common,"You can substitute this card for any 1 Fusion Material Monster. When you do this, the other Fusion Material Monster(s) must be the correct one(s).",https://images.ygoprodeck.com/images/cards/50259460.jpg
270,Wetha,Normal Monster,WATER,Aqua,3,1000,900,3,Common,A spirit that controls rain and is capable of summoning hurricanes to blow the enemy away.,https://images.ygoprodeck.com/images/cards/96643568.jpg
271,Megirus Light,Normal Monster,DARK,Fiend,3,900,600,3,Common,''The fatal beams from the eyes of this monster result in grim destruction.'',https://images.ygoprodeck.com/images/cards/23032273.jpg
272,Mavelus,Fusion Monster,WIND,Winged Beast,4,1300,900,4,Common,"""Tyhone"" + ""Wings of Wicked Flame""",https://images.ygoprodeck.com/images/cards/59036972.jpg
273,Ancient Tree of Enlightenment,Normal Monster,EARTH,Plant,3,600,1500,3,Common,''This ancient arbor uses its extensive knowledge to avoid the damage of enemy attacks.'',https://images.ygoprodeck.com/images/cards/86421986.jpg
274,Green Phantom King,Normal Monster,EARTH,Plant,3,500,1600,3,Common,"This youthful king of the forests lives in a green world, abundant with trees and wildlife.",https://images.ygoprodeck.com/images/cards/22910685.jpg
275,Ground Attacker Bugroth,Normal Monster,EARTH,Machine,4,1500,1000,4,Common,A surface battle robot that was once used for sea warfare.,https://images.ygoprodeck.com/images/cards/58314394.jpg
276,Ray & Temperature,Normal Monster,LIGHT,Fairy,3,1000,1000,3,Common,The Sun and the North Wind join hands to deliver a devastating combination of heat and gale-force winds.,https://images.ygoprodeck.com/images/cards/85309439.jpg
277,Gorgon Egg,Normal Monster,DARK,Fiend,3,300,1300,3,Common,''The gorgon egg's massive eyes are said to reflect the fate of its enemies.'',https://images.ygoprodeck.com/images/cards/11793047.jpg
278,Petit Moth,Normal Monster,EARTH,Insect,1,300,200,1,Common,This small but deadly creature is better off avoided.,https://images.ygoprodeck.com/images/cards/58192742.jpg
279,King Fog,Normal Monster,DARK,Fiend,3,1000,900,3,Common,A fiend that dwells in a blinding curtain of smoke.,https://images.ygoprodeck.com/images/cards/84686841.jpg
280,Protector of the Throne,Normal Monster,EARTH,Warrior,4,800,1500,4,Common,"While the king is away, this queen protects his throne with a mighty defense.",https://images.ygoprodeck.com/images/cards/10071456.jpg
281,Mystic Clown,Normal Monster,DARK,Fiend,4,1500,1000,4,Common,Nothing can stop the mad attack of this powerful creature.,https://images.ygoprodeck.com/images/cards/47060154.jpg
282,Mystical Sheep #2,Normal Monster,EARTH,Beast,3,800,1000,3,Common,A monstrous sheep with a long tail for hypnotizing enemies.,https://images.ygoprodeck.com/images/cards/83464209.jpg
283,Holograh,Normal Monster,EARTH,Machine,3,1100,700,3,Common,''This machine generates illusions that leave an enemy wide open to attacks.'',https://images.ygoprodeck.com/images/cards/10859908.jpg
284,Tao the Chanter,Normal Monster,EARTH,Spellcaster,3,1200,900,3,Common,"''Master of Yin and Yang, this wizard handles a delicate balance of spells and counter spells.''",https://images.ygoprodeck.com/images/cards/46247516.jpg
285,Serpent Marauder,Normal Monster,EARTH,Reptile,2,700,600,2,Common,''A snake with a single eye that blows an icy breath to freeze its opponents.'',https://images.ygoprodeck.com/images/cards/82742611.jpg
286,Gatekeeper,Normal Monster,DARK,Machine,5,1500,1800,5,Common,An indestructible mechanoid created for the sole purpose of guarding the gateways.,https://images.ygoprodeck.com/images/cards/19737320.jpg
287,Ogre of the Black Shadow,Normal Monster,EARTH,Beast-Warrior,4,1200,1400,4,Common,An ogre possessed by the powers of the dark. Few can withstand its rapid charge.,https://images.ygoprodeck.com/images/cards/45121025.jpg
288,Dark Artist,Effect Monster,DARK,Fiend,3,600,1400,3,Common,"If this card is being attacked by a LIGHT monster, its DEF is halved during damage calculation only.",https://images.ygoprodeck.com/images/cards/72520073.jpg
289,Change Slime,Normal Monster,WATER,Aqua,1,400,300,1,Common,A slime that can morph and adopt the shape and size of any monster it chooses.,https://images.ygoprodeck.com/images/cards/18914778.jpg
290,Moon Envoy,Normal Monster,LIGHT,Warrior,4,1100,1000,4,Common,Many have fallen victim to this lunar warrior's crescent pike.,https://images.ygoprodeck.com/images/cards/45909477.jpg
291,Fireyarou,Normal Monster,FIRE,Pyro,4,1300,1000,4,Common,A malevolent creature wrapped in flames that attacks enemies with intense fire.,https://images.ygoprodeck.com/images/cards/71407486.jpg
292,Psychic Kappa,Normal Monster,WATER,Aqua,2,400,1000,2,Common,An amphibian with a myriad of powers to shield it from enemy attacks.,https://images.ygoprodeck.com/images/cards/7892180.jpg
293,Masaki the Legendary Swordsman,Normal Monster,EARTH,Warrior,4,1100,1100,4,Common,Legendary swordmaster Masaki is a veteran of over 100 battles.,https://images.ygoprodeck.com/images/cards/44287299.jpg
294,Dragoness the Wicked Knight,Fusion Monster,WIND,Warrior,3,1200,900,3,Common,"""Armaill"" + ""One-Eyed Shield Dragon""",https://images.ygoprodeck.com/images/cards/70681994.jpg
295,Bio Plant,Normal Monster,DARK,Fiend,3,600,1300,3,Common,''A monster created from a major accident in an underground lab.'',https://images.ygoprodeck.com/images/cards/7670542.jpg
296,One-Eyed Shield Dragon,Normal Monster,WIND,Dragon,3,700,1300,3,Common,"This dragon wears a shield not only for its own protection, but also for ramming its enemies.",https://images.ygoprodeck.com/images/cards/33064647.jpg
297,Cyber Soldier of Darkworld,Normal Monster,DARK,Machine,4,1400,1200,4,Common,A mechanical soldier that won't stop attacking until all life readings have been extinguished from its sensors.,https://images.ygoprodeck.com/images/cards/75559356.jpg
298,Wicked Dragon with the Ersatz Head,Normal Monster,WIND,Dragon,3,900,900,3,Common,''A two-headed dragon with a pair of jaws that can tear an enemy to shreds.'',https://images.ygoprodeck.com/images/cards/2957055.jpg
299,Sonic Maid,Normal Monster,EARTH,Warrior,3,1200,900,3,Common,"A maiden that uses sound to her advantage, she wields a scythe that's shaped like a musical note.",https://images.ygoprodeck.com/images/cards/38942059.jpg
300,Kurama,Normal Monster,WIND,Winged Beast,3,800,800,3,Common,A vicious bird that attacks from the skies with its whip-like tail.,https://images.ygoprodeck.com/images/cards/85705804.jpg
301,Legendary Sword,Spell Card,,Equip,0,0,0,0,Common,Equip only to a Warrior monster. It gains 300 ATK/DEF.,https://images.ygoprodeck.com/images/cards/61854111.jpg
302,Sword of Dark Destruction,Spell Card,,Equip,0,0,0,0,Common,Equip only to a DARK monster. It gains 400 ATK and loses 200 DEF.,https://images.ygoprodeck.com/images/cards/37120512.jpg
303,Dark Energy,Spell Card,,Equip,0,0,0,0,Common,Increase the ATK and DEF of a Fiend-Type monster equipped with this card by 300 points.,https://images.ygoprodeck.com/images/cards/4614116.jpg
304,Axe of Despair,Spell Card,,Equip,0,0,0,0,Common,"(This card is always treated as an ""Archfiend"" card.)
The equipped monster gains 1000 ATK. When this card is sent from the field to the Graveyard: You can Tribute 1 monster; place this card on the top of your Deck.",https://images.ygoprodeck.com/images/cards/40619825.jpg
305,Laser Cannon Armor,Spell Card,,Equip,0,0,0,0,Common,Equip only to an Insect monster. It gains 300 ATK/DEF.,https://images.ygoprodeck.com/images/cards/77007920.jpg
306,Insect Armor with Laser Cannon,Spell Card,,Equip,0,0,0,0,Common,Equip only to an Insect monster. It gains 700 ATK.,https://images.ygoprodeck.com/images/cards/3492538.jpg
307,Elf's Light,Spell Card,,Equip,0,0,0,0,Common,A LIGHT monster equipped with this card increases its ATK by 400 points and decreases its DEF by 200 points.,https://images.ygoprodeck.com/images/cards/39897277.jpg
308,Beast Fangs,Spell Card,,Equip,0,0,0,0,Common,A Beast-Type monster equipped with this card increases its ATK and DEF by 300 points.,https://images.ygoprodeck.com/images/cards/46009906.jpg
309,Steel Shell,Spell Card,,Equip,0,0,0,0,Common,A WATER monster equipped with this card increases its ATK by 400 points and decreases its DEF by 200 points.,https://images.ygoprodeck.com/images/cards/2370081.jpg
310,Vile Germs,Spell Card,,Equip,0,0,0,0,Common,A Plant-Type monster equipped with this card increases its ATK and DEF by 300 points.,https://images.ygoprodeck.com/images/cards/39774685.jpg
311,Black Pendant,Spell Card,,Equip,0,0,0,0,Common,The equipped monster gains 500 ATK. When this card is sent from the field to the Graveyard: Inflict 500 damage to your opponent.,https://images.ygoprodeck.com/images/cards/65169794.jpg
312,Silver Bow and Arrow,Spell Card,,Equip,0,0,0,0,Common,A Fairy-Type monster equipped with this card increases its ATK and DEF by 300 points.,https://images.ygoprodeck.com/images/cards/1557499.jpg
313,Horn of Light,Spell Card,,Equip,0,0,0,0,Common,"Increase the DEF of a monster equipped with this card by 800 points. When this card is sent from the field to the Graveyard, if you pay 500 Life Points, this card returns to the top of your Deck.",https://images.ygoprodeck.com/images/cards/38552107.jpg
314,Horn of the Unicorn,Spell Card,,Equip,0,0,0,0,Common,The equipped monster gains 700 ATK and DEF. When this card is sent from the field to the Graveyard: Return it to the top of the Deck.,https://images.ygoprodeck.com/images/cards/64047146.jpg
315,Dragon Treasure,Spell Card,,Equip,0,0,0,0,Common,A Dragon-Type monster equipped with this card increases its ATK and DEF by 300 points.,https://images.ygoprodeck.com/images/cards/1435851.jpg
316,Electro-Whip,Spell Card,,Equip,0,0,0,0,Common,Increase the ATK and DEF of a Thunder-Type monster equipped with this card by 300 points.,https://images.ygoprodeck.com/images/cards/37820550.jpg
317,Cyber Shield,Spell Card,,Equip,0,0,0,0,Common,"Equip only to ""Harpie Lady"" or ""Harpie Lady Sisters"". It gains 500 ATK.",https://images.ygoprodeck.com/images/cards/63224564.jpg
318,Elegant Egotist,Spell Card,,Normal,0,0,0,0,Common,"If ""Harpie Lady"" is on the field: Special Summon 1 ""Harpie Lady"" or ""Harpie Lady Sisters"" from your hand or Deck.",https://images.ygoprodeck.com/images/cards/90219263.jpg
319,Mystical Moon,Spell Card,,Equip,0,0,0,0,Common,Equip only to a Beast-Warrior-Type monster. It gains 300 ATK and DEF.,https://images.ygoprodeck.com/images/cards/36607978.jpg
320,Stop Defense,Spell Card,,Normal,0,0,0,0,Common,Select 1 Defense Position monster on your opponent's side of the field and change it to Attack Position.,https://images.ygoprodeck.com/images/cards/63102017.jpg
321,Malevolent Nuzzler,Spell Card,,Equip,0,0,0,0,Common,The equipped monster gains 700 ATK. When this card is sent from the field to the Graveyard: You can pay 500 LP; place this card on the top of your Deck.,https://images.ygoprodeck.com/images/cards/99597615.jpg
322,Violet Crystal,Spell Card,,Equip,0,0,0,0,Common,"(This card is not treated as a ""Crystal"" card.)
Equip only to a Zombie monster. It gains 300 ATK/DEF.",https://images.ygoprodeck.com/images/cards/15052462.jpg
323,Book of Secret Arts,Spell Card,,Equip,0,0,0,0,Common,A Spellcaster-Type monster equipped with this card increases its ATK and DEF by 300 points.,https://images.ygoprodeck.com/images/cards/91595718.jpg
324,Invigoration,Spell Card,,Equip,0,0,0,0,Common,An EARTH monster equipped with this card increases its ATK by 400 points and decreases its DEF by 200 points.,https://images.ygoprodeck.com/images/cards/98374133.jpg
325,Machine Conversion Factory,Spell Card,,Equip,0,0,0,0,Common,Equip only to a Machine monster. It gains 300 ATK/DEF.,https://images.ygoprodeck.com/images/cards/25769732.jpg
326,Raise Body Heat,Spell Card,,Equip,0,0,0,0,Common,Equip only to a Dinosaur monster. It gains 300 ATK/DEF.,https://images.ygoprodeck.com/images/cards/51267887.jpg
327,Follow Wind,Spell Card,,Equip,0,0,0,0,Common,Increase the ATK and DEF of a Winged Beast-Type monster equipped with this card by 300 points.,https://images.ygoprodeck.com/images/cards/98252586.jpg
328,Power of Kaishin,Spell Card,,Equip,0,0,0,0,Common,Equip only to an Aqua monster. It gains 300 ATK/DEF.,https://images.ygoprodeck.com/images/cards/77027445.jpg
329,Dragon Capture Jar,Trap Card,,Continuous,0,0,0,0,Common,"Change all face-up Dragon-Type monsters on the field to Defense Position, also they cannot change their battle positions.",https://images.ygoprodeck.com/images/cards/50045299.jpg
330,Forest,Spell Card,,Field,0,0,0,0,Common,"All Insect, Beast, Plant, and Beast-Warrior monsters on the field gain 200 ATK/DEF.",https://images.ygoprodeck.com/images/cards/87430998.jpg
331,Wasteland,Spell Card,,Field,0,0,0,0,Common,"All Dinosaur, Zombie, and Rock monsters on the field gain 200 ATK/DEF.",https://images.ygoprodeck.com/images/cards/23424603.jpg
332,Mountain,Spell Card,,Field,0,0,0,0,Common,"All Dragon, Winged Beast, and Thunder monsters on the field gain 200 ATK/DEF.",https://images.ygoprodeck.com/images/cards/50913601.jpg
333,Sogen,Spell Card,,Field,0,0,0,0,Common,All Warrior and Beast-Warrior monsters on the field gain 200 ATK/DEF.,https://images.ygoprodeck.com/images/cards/86318356.jpg
334,Umi,Spell Card,,Field,0,0,0,0,Common,"All Fish, Sea Serpent, Thunder, and Aqua monsters on the field gain 200 ATK/DEF, also all Machine and Pyro monsters on the field lose 200 ATK/DEF.",https://images.ygoprodeck.com/images/cards/22702055.jpg
335,Yami,Spell Card,,Field,0,0,0,0,Common,"All Fiend and Spellcaster monsters on the field gain 200 ATK/DEF, also all Fairy monsters on the field lose 200 ATK/DEF.",https://images.ygoprodeck.com/images/cards/59197169.jpg
336,Dark Hole,Spell Card,,Normal,0,0,0,0,Common,Destroy all monsters on the field.,https://images.ygoprodeck.com/images/cards/53129443.jpg
337,Raigeki,Spell Card,,Normal,0,0,0,0,Common,Destroy all monsters your opponent controls.,https://images.ygoprodeck.com/images/cards/12580477.jpg
338,Mooyan Curry,Spell Card,,Normal,0,0,0,0,Common,Choose 1 player; that player gains 200 Life Points.,https://images.ygoprodeck.com/images/cards/58074572.jpg
339,Red Medicine,Spell Card,,Normal,0,0,0,0,Common,Increase your Life Points by 500 points.,https://images.ygoprodeck.com/images/cards/38199696.jpg
340,Goblin's Secret Remedy,Spell Card,,Normal,0,0,0,0,Common,Increase your Life Points by 600 points.,https://images.ygoprodeck.com/images/cards/11868825.jpg
341,Soul of the Pure,Spell Card,,Normal,0,0,0,0,Common,Increase your Life Points by 800 points.,https://images.ygoprodeck.com/images/cards/47852924.jpg
342,Dian Keto the Cure Master,Spell Card,,Normal,0,0,0,0,Common,Increase your Life Points by 1000 points.,https://images.ygoprodeck.com/images/cards/84257640.jpg
343,Sparks,Spell Card,,Normal,0,0,0,0,Common,Inflict 200 points of damage to your opponent's Life Points.,https://images.ygoprodeck.com/images/cards/76103675.jpg
344,Hinotama,Spell Card,,Normal,0,0,0,0,Common,Inflict 500 damage to your opponent.,https://images.ygoprodeck.com/images/cards/46130346.jpg
345,Final Flame,Spell Card,,Normal,0,0,0,0,Common,Inflict 600 points of damage to your opponent's Life Points.,https://images.ygoprodeck.com/images/cards/73134082.jpg
346,Ookazi,Spell Card,,Normal,0,0,0,0,Common,Inflict 800 damage to your opponent.,https://images.ygoprodeck.com/images/cards/19523799.jpg
347,Tremendous Fire,Spell Card,,Normal,0,0,0,0,Common,Inflict 1000 points of damage to your opponent's Life Points and 500 points of damage to your Life Points.,https://images.ygoprodeck.com/images/cards/46918794.jpg
348,Swords of Revealing Light,Spell Card,,Normal,0,0,0,0,Common,"After this card's activation, it remains on the field, but you must destroy it during the End Phase of your opponent's 3rd turn. When this card is activated: If your opponent controls a face-down monster, flip all monsters they control face-up. While this card is face-up on the field, your opponent's monsters cannot declare an attack.",https://images.ygoprodeck.com/images/cards/72302403.jpg
349,Spellbinding Circle,Trap Card,,Continuous,0,0,0,0,Common,"Activate this card by targeting 1 monster your opponent controls; it cannot attack or change its battle position. When that monster is destroyed, destroy this card.",https://images.ygoprodeck.com/images/cards/18807109.jpg
350,Dark-Piercing Light,Spell Card,,Normal,0,0,0,0,Common,Flip all face-down monsters on your opponent's side of the field face-up.,https://images.ygoprodeck.com/images/cards/45895206.jpg
351,Yaranzo,Normal Monster,DARK,Zombie,4,1300,1500,4,Common,A treasure box containing a monster that attacks any unwary bandit.,https://images.ygoprodeck.com/images/cards/71280811.jpg
352,Kanan the Swordmistress,Normal Monster,EARTH,Warrior,4,1400,1400,4,Common,"A lady warrior armed with sword and shield, she floats lightly and stings sharply.",https://images.ygoprodeck.com/images/cards/12829151.jpg
353,Takriminos,Normal Monster,WATER,Sea Serpent,4,1500,1200,4,Common,A member of a race of sea serpents that freely travels through the sea.,https://images.ygoprodeck.com/images/cards/44073668.jpg
354,Stuffed Animal,Normal Monster,EARTH,Warrior,3,1200,900,3,Common,"It may look like a harmless stuffed animal, but its zipper mouth deals a deadly bite.",https://images.ygoprodeck.com/images/cards/71068263.jpg
355,Megasonic Eye,Normal Monster,DARK,Machine,5,1500,1800,5,Common,"Made of mysterious metal, this monster is a doomsday machine from the edge of the universe.",https://images.ygoprodeck.com/images/cards/7562372.jpg
356,Super War-Lion,Ritual Monster,EARTH,Beast,7,2300,2100,7,Common,"You can Ritual Summon this card with ""War-Lion Ritual"".",https://images.ygoprodeck.com/images/cards/33951077.jpg
357,Yamadron,Normal Monster,FIRE,Dragon,5,1600,1800,5,Common,This monster has three fire-breathing heads and can form a sea of blazing flames.,https://images.ygoprodeck.com/images/cards/70345785.jpg
358,Seiyaryu,Normal Monster,LIGHT,Dragon,7,2500,2300,7,Common,A mystical dragon that burns away the unworthy with its mystic flames.,https://images.ygoprodeck.com/images/cards/6740720.jpg
359,Three-Legged Zombies,Normal Monster,DARK,Zombie,3,1100,800,3,Common,"A pair of friendly skeletons, lean and fat, that travel with extreme difficulty.",https://images.ygoprodeck.com/images/cards/33734439.jpg
360,Zera The Mant,Ritual Monster,DARK,Fiend,8,2800,2300,8,Common,"This card can only be Ritual Summoned with the Ritual Spell Card, ""Zera Ritual"".",https://images.ygoprodeck.com/images/cards/69123138.jpg
361,Flying Penguin,Normal Monster,WATER,Aqua,4,1200,1000,4,Common,A very rare penguin that takes to the air with ears shaped like wings.,https://images.ygoprodeck.com/images/cards/5628232.jpg
362,Millennium Shield,Normal Monster,EARTH,Warrior,5,0,3000,5,Common,A famous shield said to belong to an ancient Egyptian Pharaoh. Legends tell of its power to block any strong attack.,https://images.ygoprodeck.com/images/cards/32012841.jpg
363,Fairy's Gift,Normal Monster,LIGHT,Spellcaster,4,1400,1000,4,Common,This flying monster is known for delivering happiness to all.,https://images.ygoprodeck.com/images/cards/68401546.jpg
364,Black Luster Soldier,Ritual Monster,EARTH,Warrior,8,3000,2500,8,Common,"You can Ritual Summon this card with ""Black Luster Ritual"".",https://images.ygoprodeck.com/images/cards/5405694.jpg
365,Fiend's Mirror,Ritual Monster,DARK,Fiend,6,2100,1800,6,Common,"You can Ritual Summon this card with ""Beastly Mirror Ritual"".",https://images.ygoprodeck.com/images/cards/31890399.jpg
366,Labyrinth Wall,Normal Monster,EARTH,Rock,5,0,3000,5,Common,These walls form a labyrinth with no exit for enemies.,https://images.ygoprodeck.com/images/cards/67284908.jpg
367,Jirai Gumo,Effect Monster,EARTH,Insect,4,2200,100,4,Common,"When this card declares an attack: Toss a coin and call it. If you call it wrong, lose half your Life Points.",https://images.ygoprodeck.com/images/cards/94773007.jpg
368,Shadow Ghoul,Effect Monster,DARK,Zombie,5,1600,1300,5,Common,This card gains 100 ATK for each monster in your Graveyard.,https://images.ygoprodeck.com/images/cards/30778711.jpg
369,Wall Shadow,Effect Monster,DARK,Warrior,7,1600,3000,7,Common,"Cannot be Normal Summoned/Set. Must first be Special Summoned with ""Magical Labyrinth"".",https://images.ygoprodeck.com/images/cards/63162310.jpg
370,Labyrinth Tank,Fusion Monster,DARK,Machine,7,2400,2400,7,Common,"""Giga-Tech Wolf"" + ""Cannon Soldier""",https://images.ygoprodeck.com/images/cards/99551425.jpg
371,Sanga of the Thunder,Effect Monster,LIGHT,Thunder,7,2600,2200,7,Common,"During damage calculation in your opponent's turn, if this card is being attacked: You can target the attacking monster; make that target's ATK 0 during damage calculation only (this is a Quick Effect). This effect can only be used once while this card is face-up on the field.",https://images.ygoprodeck.com/images/cards/25955164.jpg
372,Kazejin,Effect Monster,WIND,Spellcaster,7,2400,2200,7,Common,"During damage calculation in your opponent's turn, if this card is being attacked: You can target the attacking monster; make that target's ATK 0 during damage calculation only (this is a Quick Effect). This effect can only be used once while this card is face-up on the field.",https://images.ygoprodeck.com/images/cards/62340868.jpg
373,Suijin,Effect Monster,WATER,Aqua,7,2500,2400,7,Common,"During damage calculation in your opponent's turn, if this card is being attacked: You can target the attacking monster; make that target's ATK 0 during damage calculation only (this is a Quick Effect). This effect can only be used once while this card is face-up on the field.",https://images.ygoprodeck.com/images/cards/98434877.jpg
374,Gate Guardian,Effect Monster,DARK,Warrior,11,3750,3400,11,Common,"Cannot be Normal Summoned/Set. Must first be Special Summoned (from your hand) by Tributing 1 ""Sanga of the Thunder"", ""Kazejin"", and ""Suijin"".",https://images.ygoprodeck.com/images/cards/25833572.jpg
375,Dungeon Worm,Normal Monster,EARTH,Insect,5,1800,1500,5,Common,"Hidden under the floors of a labyrinth, it swallows any who pass above.",https://images.ygoprodeck.com/images/cards/51228280.jpg
376,Monster Tamer,Normal Monster,EARTH,Warrior,5,1800,1600,5,Common,A master of monsters that exercises control over several creatures.,https://images.ygoprodeck.com/images/cards/97612389.jpg
377,Ryu-Kishin Powered,Normal Monster,DARK,Fiend,4,1600,1200,4,Common,A gargoyle enhanced by the powers of darkness. Very sharp talons make it a worthy opponent.,https://images.ygoprodeck.com/images/cards/24611934.jpg
378,Swordstalker,Normal Monster,DARK,Warrior,6,2000,1600,6,Common,A monster formed by the vengeful souls of those who passed away in battle.,https://images.ygoprodeck.com/images/cards/50005633.jpg
379,La Jinn the Mystical Genie of the Lamp,Normal Monster,DARK,Fiend,4,1800,1000,4,Common,A genie of the lamp that is at the beck and call of its master.,https://images.ygoprodeck.com/images/cards/97590747.jpg
380,Blue-Eyes Ultimate Dragon,Fusion Monster,LIGHT,Dragon,12,4500,3800,12,Common,"""Blue-Eyes White Dragon"" + ""Blue-Eyes White Dragon"" + ""Blue-Eyes White Dragon""",https://images.ygoprodeck.com/images/cards/23995346.jpg
381,Toon Alligator,Normal Monster,WATER,Reptile,4,800,1600,4,Common,An alligator monster straight from the cartoons.,https://images.ygoprodeck.com/images/cards/59383041.jpg
382,Rude Kaiser,Normal Monster,EARTH,Beast-Warrior,5,1800,1600,5,Common,"With an axe in each hand, this monster delivers heavy damage.",https://images.ygoprodeck.com/images/cards/26378150.jpg
383,Parrot Dragon,Normal Monster,WIND,Dragon,5,2000,1300,5,Common,A dragon from the cartoons that's more dangerous than it appears to be.,https://images.ygoprodeck.com/images/cards/62762898.jpg
384,Dark Rabbit,Normal Monster,DARK,Beast,4,1100,1500,4,Common,"He leaps up, down, and all around! Nobody can lay a hand on this funny bunny.",https://images.ygoprodeck.com/images/cards/99261403.jpg
